Bundesland,Fälle,Genesene,Todesfälle,Latitude,Longitude
Anhalt-Bitterfeld,1,,,51.75,11.99
Börde,4,,,52.29,11.4
Burgenlandkreis,1,,,51.12,11.86
Harz,2,,,51.75,10.63
Mansfeld-Südharz,1,,,51.55,11.4
Saalekreis,2,,,51.37,11.86
Salzlandkreis,1,,,51.83,11.58
Wittenberg,2,,,51.87,12.63
Halle,7,,,51.5,11.97
Magdeburg,3,,,52.12,11.63
